id,carat,cut,color,clarity,depth,table,x,y,z,price
19041,1.17,Good,D,SI2,60.4,65.0,6.81,6.77,4.1,5567
397,1.2,Ideal,F,VVS1,61.1,55.0,6.86,6.89,4.2,13088
15627,0.31,Very Good,I,VVS2,61.6,59.0,4.31,4.33,2.66,544
16598,2.19,Ideal,I,SI2,62.5,56.0,8.31,8.24,5.18,15254
5812,0.3,Ideal,H,VS2,62.1,57.0,4.27,4.3,2.66,491
6310,1.01,Very Good,D,SI2,59.1,63.0,6.59,6.54,3.88,3671
20880,0.74,Ideal,F,VS1,61.7,56.0,5.83,5.78,3.58,3170
24489,0.53,Ideal,G,IF,60.3,56.0,5.29,5.33,3.2,2293
14748,0.7,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55,2792
22256,0.52,Very Good,G,VS2,63.7,56.0,5.08,5.13,3.25,1446
9799,0.62,Premium,F,SI1,61.7,59.0,5.51,5.48,3.39,1595
5389,0.4,Premium,E,SI1,60.1,59.0,4.76,4.82,2.88,737
421,0.71,Ideal,I,VVS1,62.3,56.0,5.7,5.73,3.56,2606
8642,0.6,Good,E,VVS2,64.2,55.0,5.31,5.34,3.42,2511
317,1.04,Ideal,D,IF,61.8,57.0,6.49,6.52,4.02,14494
7959,0.6,Ideal,D,SI1,61.7,56.0,5.39,5.44,3.34,2263
24857,0.73,Ideal,I,VS1,61.5,55.0,5.8,5.84,3.58,2908
14072,1.0,Fair,H,VS1,64.6,59.0,6.3,6.26,4.06,5242
8859,0.34,Premium,G,IF,62.3,59.0,4.46,4.49,2.79,1014
26439,0.55,Ideal,E,VS2,62.0,55.0,5.28,5.24,3.26,1715
17499,1.2,Very Good,J,SI2,61.4,55.0,6.85,6.92,4.23,4636
14772,0.45,Ideal,F,VVS1,61.8,55.0,4.92,4.95,3.05,1833
11215,0.28,Very Good,H,VS2,61.4,57.0,4.21,4.23,2.59,376
17961,1.01,Fair,F,VS2,61.1,60.0,6.49,6.4,3.94,6271
9542,0.92,Fair,F,SI2,65.3,58.0,6.08,6.04,3.96,3282
17171,0.5,Ideal,E,VS2,61.4,56.0,5.12,5.08,3.13,1629
11207,0.5,Premium,G,SI2,62.6,58.0,5.09,5.03,3.17,1121
7338,0.3,Very Good,D,VVS2,63.2,55.0,4.27,4.3,2.71,754
9120,0.76,Ideal,F,SI2,61.5,55.0,5.87,5.9,3.62,2694
2641,0.32,Premium,H,VS1,61.6,59.0,4.37,4.39,2.7,524
19205,1.07,Ideal,J,SI1,61.5,55.0,6.58,6.62,4.06,5281
11072,0.9,Very Good,H,VS1,63.6,55.0,6.15,6.11,3.9,4685
9100,0.71,Very Good,G,SI1,62.9,56.0,5.68,5.73,3.59,2184
25740,0.35,Very Good,E,SI1,62.7,57.0,4.47,4.52,2.82,614
21897,0.26,Premium,D,VS1,60.0,56.0,4.18,4.15,2.5,546
25385,0.82,Very Good,G,SI2,63.4,55.0,5.96,5.93,3.77,2232
88,1.26,Ideal,J,VS2,63.2,57.0,6.86,6.81,4.32,5306
13583,1.2,Good,I,SI1,63.1,58.0,6.66,6.72,4.22,4752
12294,0.58,Ideal,F,VS2,62.1,56.0,5.33,5.37,3.32,1666
21749,0.31,Ideal,H,VVS2,62.4,57.0,4.32,4.36,2.71,625
24707,1.51,Very Good,G,VS1,60.2,63.0,7.36,7.39,4.44,12317
6062,1.02,Very Good,E,SI1,63.7,55.0,6.29,6.4,4.04,7277
12283,1.01,Good,F,VS2,63.6,59.0,6.36,6.32,4.03,6097
6309,0.5,Good,F,SI2,57.7,62.0,5.22,5.18,3.0,984
21099,1.5,Very Good,E,SI1,59.6,58.0,7.38,7.41,4.41,11586
15074,0.7,Very Good,F,VS1,,57.0,5.69,5.72,3.54,2975
12069,0.55,Ideal,G,VS2,61.8,55.0,5.25,5.3,3.26,1715
6869,0.31,Very Good,F,VVS1,62.4,57.0,4.3,4.32,2.69,897
26397,0.32,Very Good,E,VVS1,60.4,57.0,4.42,4.46,2.68,917
19519,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3378
12347,0.31,Very Good,G,VS2,62.6,57.0,4.3,4.32,2.7,544
16025,0.41,Premium,E,VVS1,60.7,58.0,4.8,4.86,2.93,1367
15549,1.03,Premium,D,SI2,62.5,54.0,6.5,6.42,4.04,4764
22928,0.55,Ideal,G,VS2,61.6,55.0,5.31,5.25,3.25,1752
18337,0.91,Ideal,J,VS1,60.7,57.0,6.23,6.26,3.79,3267
14932,0.78,Ideal,E,SI1,61.6,56.0,5.94,6.0,3.68,3345
17584,1.01,Fair,F,SI1,,60.0,6.15,6.13,4.06,3197
20529,1.0,Ideal,F,SI2,61.0,55.0,6.45,6.41,3.92,3562
8624,0.46,Fair,H,VS2,65.6,58.0,4.8,4.84,3.16,830
8539,2.05,Premium,H,VS2,60.7,61.0,8.25,8.13,4.97,16235
4242,0.7,Premium,G,VS1,61.4,59.0,5.74,5.59,3.51,2535
2484,0.81,Premium,E,VS2,61.5,58.0,5.99,5.94,3.97,3674
15978,0.4,Premium,H,VVS1,61.8,58.0,4.69,4.72,2.91,1017
22572,0.64,Ideal,E,VS1,60.8,56.0,5.61,5.59,3.41,2679
648,0.73,Premium,G,VS1,61.4,58.0,5.82,5.77,3.56,2841
10598,1.19,Very Good,I,SI1,63.2,58.0,6.82,6.7,4.27,4665
5478,0.57,Ideal,E,VS1,62.1,53.0,5.36,5.41,3.34,1942
25481,1.01,Good,D,SI2,63.9,57.0,6.29,6.36,4.04,4588
11973,0.9,Good,J,VS2,64.0,61.0,6.04,6.03,3.86,2822
12919,0.3,Ideal,G,SI2,61.7,57.0,4.26,4.3,2.64,382
8770,0.33,Very Good,I,VVS2,62.1,56.0,4.41,4.45,2.75,579
11592,1.5,Very Good,G,SI1,60.1,61.0,7.28,7.4,4.41,10019
8052,0.3,Ideal,E,SI1,62.3,57.0,4.29,4.31,2.68,499
8841,0.72,Ideal,E,SI1,60.8,57.0,5.77,5.8,3.52,3409
19816,0.54,Ideal,J,VVS1,62.2,54.0,5.23,5.25,3.26,1239
24144,1.2,Premium,E,VS1,60.7,57.0,6.89,6.81,4.16,10053
