id,carat,cut,color,clarity,depth,table,x,y,z,price
19973,0.8,Ideal,H,VS1,62.2,56.0,5.92,5.95,3.69,3581
19108,0.5,Very Good,E,SI1,62.4,58.0,5.06,5.01,3.14,1090
14173,1.5,Good,E,SI2,64.5,58.0,7.06,7.11,4.57,8492
10073,0.4,Ideal,E,SI2,61.0,58.0,4.76,4.78,2.91,629
5018,1.0,Ideal,G,VS1,62.2,56.0,6.35,6.41,3.97,6349
14137,0.72,Very Good,E,VVS1,61.2,58.0,5.75,5.79,3.53,3903
15321,2.14,Premium,H,VS2,61.7,58.0,8.28,8.22,5.09,16390
10856,0.73,Premium,J,VS2,62.8,58.0,5.77,5.71,3.6,1654
17252,0.58,Ideal,D,SI2,60.9,56.0,5.4,5.44,3.3,1607
14940,0.7,Good,H,SI1,63.8,58.0,5.66,5.59,3.59,2176
25185,0.74,Ideal,I,VS2,61.5,57.0,5.81,5.86,3.59,2459
14280,1.0,Ideal,E,I1,61.8,56.0,6.43,6.38,3.96,3584
8326,0.71,Premium,E,VS2,62.4,60.0,5.68,5.66,3.54,2613
2165,0.77,Very Good,H,VS1,61.0,60.0,5.9,5.87,3.59,2840
6759,0.91,Ideal,G,VS2,62.3,57.0,6.18,6.24,3.87,4257
21901,1.52,Ideal,I,SI1,61.2,55.4,7.38,7.45,4.54,9067
5945,1.0,Good,I,VVS2,57.4,59.0,6.61,6.53,3.77,4032
10035,1.21,Ideal,H,SI2,61.1,56.0,6.92,6.87,4.21,6098
22288,0.25,Very Good,E,VVS2,63.1,55.0,3.98,4.04,2.53,526
2235,0.55,Ideal,E,VS2,61.4,56.0,5.32,5.26,3.25,1792
24781,0.51,Ideal,D,VS2,61.1,56.0,5.16,5.2,3.17,1986
23166,1.01,Ideal,G,VS2,62.1,58.0,6.38,6.43,3.98,6587
10528,0.44,Very Good,J,VVS2,63.6,58.0,4.8,4.83,3.06,834
24822,1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,12098
20802,0.32,Premium,G,VS2,58.4,57.0,4.53,4.51,2.64,672
9471,1.54,Very Good,I,VS2,62.2,58.0,7.32,7.37,4.57,8656
13951,0.46,Good,F,IF,56.2,61.0,5.16,5.24,2.92,1806
13166,0.33,Ideal,D,VS2,61.5,56.0,4.47,4.5,2.76,940
13703,1.23,Ideal,I,SI2,61.8,55.0,6.87,6.91,4.26,5820
11821,1.01,Very Good,E,VS2,63.1,60.0,6.3,6.26,3.96,6335
21136,0.34,Ideal,D,SI1,62.3,57.0,4.48,4.44,2.78,803
26159,1.01,Very Good,F,VVS1,62.8,60.0,6.4,6.34,4.0,9667
19129,0.3,Ideal,F,IF,62.3,57.0,4.25,4.29,2.66,886
18115,1.51,Very Good,F,VS2,62.5,58.0,7.21,7.36,4.55,14165
26745,0.8,Premium,H,VS2,61.2,53.0,6.05,5.98,3.68,2867
6917,1.06,Ideal,F,IF,61.0,57.0,6.64,6.55,4.02,11195
2620,1.2,Premium,G,SI1,61.5,61.0,6.84,6.78,4.19,5947
1511,0.3,Very Good,G,VS1,62.8,57.0,4.24,4.26,2.67,605
1581,0.63,Ideal,I,VS2,62.1,54.0,5.51,5.54,3.43,1423
4303,0.7,Ideal,I,VS2,62.2,55.0,5.69,5.73,3.55,2154
25777,0.5,Good,D,VS1,64.2,55.0,5.01,5.08,3.24,1701
5249,1.11,Ideal,I,SI2,61.6,54.0,6.66,6.72,4.12,4428
19250,0.81,Premium,J,SI1,61.8,57.0,6.02,5.96,3.7,2199
8877,1.0,Premium,D,VS2,59.8,58.0,6.55,6.47,3.89,7392
15086,0.34,Premium,D,VS2,60.4,60.0,4.56,4.51,2.74,1033
16555,0.51,Very Good,F,SI1,62.5,59.0,5.08,5.1,3.18,1203
16171,0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,724
26171,1.01,Premium,G,SI2,63.0,58.0,6.34,6.29,3.98,4038
6749,0.72,Ideal,D,SI1,61.5,54.0,5.77,5.8,3.56,2804
14056,0.76,Ideal,I,SI1,61.9,56.0,5.85,5.88,3.63,2358
10916,1.2,Ideal,G,VS1,62.3,56.0,6.77,6.82,4.23,8442
22788,0.41,Premium,E,SI2,62.1,58.0,4.77,4.73,2.95,876
11631,1.2,Ideal,G,SI1,61.6,57.0,6.85,6.88,4.23,7372
17905,1.5,Fair,H,SI2,66.0,64.0,7.1,6.97,4.64,5000
9047,0.31,Ideal,F,IF,62.1,55.0,4.34,4.35,2.7,979
25866,0.51,Ideal,H,VS2,61.2,53.0,5.22,5.18,3.18,1312
16490,0.52,Ideal,G,VS1,60.9,56.0,5.2,5.24,3.18,1662
15140,1.13,Premium,H,VS2,62.0,57.0,6.68,6.62,4.12,5650
25635,1.51,Good,I,SI1,63.7,61.0,7.11,7.15,4.54,8097
9950,0.59,Very Good,F,VS2,61.8,58.0,5.35,5.4,3.32,1723
13966,0.57,Ideal,G,VS1,60.3,57.0,5.4,5.42,3.26,1876
13779,0.53,Very Good,F,SI1,60.9,56.0,5.21,5.23,3.18,1291
26744,0.6,Ideal,D,VVS1,61.6,56.0,5.41,5.43,3.34,3570
4014,1.07,Very Good,F,VVS1,60.2,58.0,6.57,6.65,3.98,9808
1761,1.01,Very Good,D,SI2,61.8,57.0,6.42,6.47,3.98,4260
14603,1.07,Ideal,G,SI1,62.1,57.0,6.59,6.52,4.07,5232
17320,1.01,Good,F,SI1,63.6,58.0,6.37,6.31,4.03,4989
13285,1.2,Ideal,H,SI2,62.7,55.0,6.74,6.69,4.21,5578
15236,0.4,Premium,F,VVS2,60.8,59.0,4.76,4.72,2.88,1163
19044,0.44,Ideal,H,IF,61.9,54.0,4.9,4.95,3.05,1177
17984,0.64,Ideal,E,SI1,62.7,57.0,5.54,5.47,3.45,1859
19333,0.7,Good,G,VS1,63.5,61.0,5.6,5.64,3.57,2577
20104,0.56,Ideal,G,VS2,62.1,56.0,5.29,5.31,3.29,1580
26019,1.53,Very Good,J,VS2,62.9,59.0,7.31,7.34,4.61,7418
4661,0.74,Very Good,G,VS1,59.8,58.0,5.85,5.89,3.51,2896
23867,0.3,Ideal,E,VS2,62.2,56.0,4.28,4.3,2.67,658
10794,0.32,Premium,F,VS2,61.4,60.0,4.38,4.42,2.7,645
5801,2.28,Premium,J,VS1,60.3,58.0,8.58,8.53,5.16,16174
21017,2.42,Ideal,H,SI2,62.3,57.0,8.62,8.55,5.35,16826
18305,0.34,Very Good,F,SI2,61.7,61.0,4.44,4.48,2.75,447
11392,0.67,Premium,F,SI1,61.3,59.0,5.65,5.63,3.46,1809
22616,0.93,Very Good,G,SI1,61.7,56.0,6.22,6.26,3.85,4513
2890,0.31,Ideal,E,VVS1,61.3,56.0,4.39,4.43,2.7,1064
13230,0.27,Ideal,G,SI2,62.3,55.0,4.14,4.18,2.59,361
20194,0.91,Premium,H,VS2,61.8,60.0,6.18,6.22,3.83,4313
10206,0.76,Premium,D,VS1,60.6,58.0,5.95,5.89,3.59,3894
21161,0.9,Very Good,E,VS1,,59.0,6.14,6.2,3.77,5151
16216,1.04,Ideal,H,SI2,60.3,57.0,6.54,6.59,3.96,4323
3833,0.7,Ideal,F,SI2,65.0,53.0,5.61,5.56,3.63,2394
10062,1.0,Premium,E,SI2,62.2,59.0,6.38,6.35,3.96,4390
6696,1.01,Very Good,G,SI1,62.6,59.0,6.38,6.3,3.97,4916
12855,1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,4784
3527,0.3,Good,H,SI1,63.4,58.0,4.26,4.29,2.71,421
4129,1.61,Very Good,I,SI2,60.9,63.0,7.5,7.54,4.58,7636
16177,0.44,Premium,G,VS1,62.3,59.0,4.87,4.82,3.02,1031
22647,0.59,Good,G,VS1,60.4,61.2,5.38,5.43,3.26,1910
8544,1.05,Very Good,E,SI1,62.2,56.0,6.49,6.56,4.06,5494
14287,0.3,Very Good,I,VS1,63.0,53.0,4.26,4.31,2.7,473
15571,0.93,Ideal,E,SI1,62.8,56.0,6.24,6.19,3.9,4229
13446,0.4,Premium,E,VS1,61.8,56.0,4.77,4.74,2.94,1125
18645,0.73,Ideal,D,SI1,61.9,56.0,5.8,5.77,3.58,3189
3543,0.38,Premium,F,VS1,60.2,58.0,4.73,4.71,2.84,1117
26454,0.32,Premium,H,VS2,62.5,59.0,4.38,4.33,2.72,648
21347,0.4,Ideal,D,SI2,61.3,56.0,4.77,4.72,2.91,798
2664,0.37,Ideal,G,SI1,61.4,56.0,4.63,4.65,2.85,586
16337,0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48,2777
536,0.39,Ideal,F,VS2,60.0,57.0,4.76,4.7,2.84,1053
5990,0.36,Very Good,G,VVS1,62.8,57.0,4.52,4.55,2.85,821
10913,0.57,Ideal,I,VS2,61.9,57.0,5.3,5.33,3.29,1410
22155,0.5,Ideal,D,SI1,61.8,55.0,5.11,5.15,3.17,1848
12320,0.55,Ideal,H,IF,61.9,56.0,5.26,5.34,3.26,2120
5975,0.92,Very Good,J,VS2,60.9,62.0,6.26,6.31,3.83,3146
20504,1.02,Premium,H,VS2,61.8,58.0,6.49,6.43,3.99,5241
10550,0.31,Good,I,SI1,64.3,55.0,4.27,4.29,2.75,377
12602,0.37,Ideal,G,IF,62.1,54.0,4.6,4.64,2.87,1056
8897,0.7,Ideal,I,VS2,62.5,54.0,5.68,5.71,3.56,2390
19473,0.9,Good,G,SI2,62.7,59.0,6.04,6.12,3.81,3489
17565,0.4,Ideal,E,VVS2,62.1,55.0,4.76,4.74,2.95,1238
22838,0.45,Premium,G,VVS1,60.8,58.0,4.92,4.98,3.01,1263
17027,0.9,Ideal,G,SI2,62.4,57.0,6.16,6.13,3.84,2968
220,0.24,Very Good,H,VVS2,61.4,57.0,4.02,4.04,2.47,449
21152,0.8,Good,E,SI2,61.4,59.0,5.94,6.01,3.67,2542
4528,0.28,Very Good,E,VVS1,61.1,60.0,4.17,4.21,2.56,646
9593,0.71,Very Good,E,VS1,63.3,59.0,5.64,5.67,3.58,2946
3099,0.3,Ideal,D,VVS1,61.6,56.0,4.33,4.37,2.68,912
11986,0.75,Very Good,I,SI1,59.1,58.0,5.87,5.91,3.48,2180
909,0.34,Ideal,E,SI1,62.2,54.0,4.5,4.47,2.79,714
6763,0.72,Very Good,F,VVS2,59.2,63.0,5.77,5.86,3.44,3952
21219,0.82,Ideal,H,VS2,61.5,56.0,6.01,6.08,3.72,2804
24469,0.62,Ideal,G,IF,60.3,57.0,5.54,5.61,3.35,3378
21048,0.35,Premium,E,VS2,61.4,58.0,4.55,4.51,2.78,853
26549,1.19,Premium,E,I1,60.2,61.0,6.91,6.87,4.15,3572
23064,1.51,Premium,H,I1,60.9,56.0,7.38,7.26,4.46,4404
19524,1.0,Very Good,E,SI2,61.9,59.0,6.39,6.43,3.97,4311
17459,0.5,Ideal,E,SI2,61.8,58.0,5.08,5.11,3.15,1104
3261,0.41,Ideal,D,VVS1,62.3,57.0,4.77,4.73,2.96,1582
13614,0.41,Ideal,E,VVS1,61.7,56.0,4.82,4.78,2.96,1431
22607,0.3,Premium,I,VS1,60.5,60.0,4.33,4.3,2.61,608
12158,0.5,Fair,G,VS1,64.9,57.0,4.98,4.94,3.22,1271
25803,0.28,Very Good,E,VS1,61.8,55.0,4.21,4.24,2.61,489
24873,0.3,Ideal,G,VVS2,62.5,55.0,4.3,4.34,2.7,665
10993,0.27,Ideal,F,VVS1,61.0,57.0,4.2,4.22,2.57,620
13104,0.71,Ideal,E,VS2,60.3,56.0,5.8,5.84,3.51,3217
